fact_id	fact_name	category	primary_source	secondary_source	check_points
F1	主体成立时间	企业经营情况	工商登记与股权结构	企业基本资料（营业执照）	核对营业执照注册日期与工商系统是否一致
F2	主体无开票记录	企业经营情况	发票与税务数据（具体开票明细）	纳税申报表、纳税记录（完税证明）	需确认是否确无任何开票，是否存在延迟开票或使用其他主体开票
F3	主体年度开票金额	企业经营情况	发票与税务数据（具体开票明细）	纳税申报表、纳税记录（完税证明）	核实开票时间范围是否覆盖完整年度，是否含红冲等调整项
F4	主体基本户开户行	企业经营情况	对公银行流水（部分）	企业基本资料（开户许可证）	确认账户性质为基本户，日均计算期间是否完整
F5	主体年度日均存款	企业经营情况	对公银行流水（部分）	企业基本资料（开户许可证）	确认账户性质为基本户，日均计算期间是否完整
F6	主体租赁面积	企业经营情况	合同资料（租赁合同等）	对公银行流水（部分）	核实租赁合同真实性、面积、租金金额及支付凭证
F7	主体年度租金支出	企业经营情况	合同资料（租赁合同等）	对公银行流水（部分）	核实租赁合同真实性、面积、租金金额及支付凭证
F8	主体已转租面积	企业经营情况	合同资料（租赁合同等）	发票与税务数据（具体开票明细）、对公银行流水（部分）	核实转租合同合法性（是否经原出租方同意），收入是否真实入账
F9	主体已出租/转租年度租金收入	企业经营情况	合同资料（租赁合同等）	发票与税务数据（具体开票明细）、对公银行流水（部分）	核实转租合同合法性（是否经原出租方同意），收入是否真实入账
F10	主体拟转租面积及预期租金	企业经营情况	无（属预测性陈述）	访谈记录、意向协议	此为未来预期，不可作为放款依据，需谨慎评估
F11	法定代表人公职身份	关联情况	企业及担保人基本资料（身份证、任职证明等）	公开信息查询、村委会证明	核实其公职身份是否影响贷款合规性（如涉政限制）
F12	法定代表人自有房产数量与类型	关联情况	担保人征信与资产证明	不动产登记查询、实地走访	需核实房产产权归属、是否抵押、估值合理性
F13	关联企业在本行贷款余额	关联情况	关联企业及关联交易信息、抵押物评估报告	工商登记与股权结构、信贷系统记录	确认丙公司与甲公司实际控制关系，抵押物是否足值、是否存在重复抵押
F14	关联企业抵押物信息	关联情况	关联企业及关联交易信息、抵押物评估报告	工商登记与股权结构、信贷系统记录	确认丙公司与甲公司实际控制关系，抵押物是否足值、是否存在重复抵押
F15	关联企业自有/使用厂房面积	关联情况	关联企业及关联交易信息	工商登记与股权结构、不动产登记查询	需核实丁公司与甲公司/张三的关联关系及资产权属
F16	法定代表人对外担保余额（他行）	关联情况	担保人征信与资产证明	司法、执行、失信信息	通过征信报告核实担保余额准确性，是否存在逾期
F17	法定代表人信用卡透支余额	关联情况	担保人征信与资产证明	银行流水（个人）	核实是否为正常消费透支，是否存在套现或高风险使用
F18	法定代表人对外担保金额	关联情况	担保人征信与资产证明	合同资料（担保合同）	确认被担保对象及风险敞口，是否已纳入总负债
F19	贷款担保人身份	贷款担保分析及对外担保情况分析	企业及担保人基本资料（身份证、结婚证等）	担保合同	确认夫妻关系真实性及共同担保意愿
F20	担保人对外投资及控制企业	贷款担保分析及对外担保情况分析	工商登记与股权结构	关联企业及关联交易信息	核实持股比例及实际控制力，是否存在代持
F21	担保人自有房产及租金收入	贷款担保分析及对外担保情况分析	担保人征信与资产证明	租赁合同、银行流水（租金入账）	核实房产产权、租金收入真实性及稳定性
F22	担保人自有高端住宅数量	贷款担保分析及对外担保情况分析	担保人征信与资产证明	不动产登记查询	核实产权归属、估值及是否抵押
F23	担保人商业物业资产	贷款担保分析及对外担保情况分析	担保人征信与资产证明	抵押物评估报告、不动产登记查询	核实商铺位置、产权、市场价值是否合理
F24	担保人住宅资产评估价值	贷款担保分析及对外担保情况分析	抵押物评估报告	担保人征信与资产证明、不动产登记查询	确认评估机构资质、评估时点、成新率及市场可比性
F25	担保人年度净收入	贷款担保分析及对外担保情况分析	担保人/实际控制人收入证明	银行流水（个人/对公）、纳税记录	收入来源是否可持续，是否含非经常性收益
F26	担保人无负债声明	贷款担保分析及对外担保情况分析	担保人征信与资产证明	司法、执行、失信信息	通过征信报告全面核查，注意隐性负债
F27	担保人保证贷款余额	贷款担保分析及对外担保情况分析	担保人征信与资产证明	信贷系统记录	核实贷款状态（正常/逾期）、担保责任类型
F28	担保人信用卡透支余额	贷款担保分析及对外担保情况分析	担保人征信与资产证明	银行流水（个人）	属正常消费透支，风险较低，但仍需关注还款能力
F29	贷款审批额度	贷款担保分析及对外担保情况分析	贷审会决议文件	授信审批系统记录	此为决策结论，非事实陈述，仅作流程记录
